Category,Product Name,Price,Image URL



POULTRIES,CHICK FEEDER,Kshs66.00,https://www.kenpoly.com/wp-content/uploads/2023/08/chick_feeder_all-400x457.jpg
POULTRIES,CHICK FEEDING TRAY,Kshs239.00,https://www.kenpoly.com/wp-content/uploads/2023/08/chick-feeder-and-drinker-tray_all-400x457.jpgPOULTRIES,CHICKEN DRINKER NO.2,Kshs244.00,https://www.kenpoly.com/wp-content/uploads/2023/08/chicken_drinker_2_all-400x457.jpg


INDUSTRIAL,BOTTLE CRATE 500 ML X 24 BOTTLES,Kshs1,434.00,https://www.kenpoly.com/wp-content/uploads/2023/08/bottle_crate_500_ml_x_24_bottles_all-400x457.jpg
INDUSTRIAL,INDUSTRIAL BUCKET 20 LTRS,Kshs653.00,https://www.kenpoly.com/wp-content/uploads/2023/08/industrial_bucket_20_ltrs_all-400x457.jpg
INDUSTRIAL,INDUSTRIAL BUCKET 5 LTRS,Kshs174.00,https://www.kenpoly.com/wp-content/uploads/2023/08/industrial_bucket_5_ltrs_all-400x457.jpg


HOUSEHOLD,BAMBOO TRAY,Kshs182.00,https://www.kenpoly.com/wp-content/uploads/2023/08/bamboo_tray_all-400x457.jpg
HOUSEHOLD,BAMBOO WASTE PAPER BASKET,Kshs266.00,https://www.kenpoly.com/wp-content/uploads/2023/08/bamboo_waste_paper_basket_all-400x457.jpg
HOUSEHOLD,BASIN NO.45 NDEGE,Kshs247.00,https://www.kenpoly.com/wp-content/uploads/2023/08/basin_no_45_ndege_all-400x457.jpg


GARDENING,PLANTER NO.1 WITH DISH,Kshs416.00,https://www.kenpoly.com/wp-content/uploads/2023/08/1086_planter_1_all-400x457.jpg
GARDENING,PLANTER NO.2 WITH DISH,Kshs756.00,https://www.kenpoly.com/wp-content/uploads/2023/08/001031_planter_all-400x457.jpg
GARDENING,PLANTER NO.4,Kshs170.00,https://www.kenpoly.com/wp-content/uploads/2023/08/1129_planter_4_all-400x457.jpg


FURNITURE,BAMBOO KENSTOOL NO.4009,Kshs528.00,https://www.kenpoly.com/wp-content/uploads/2023/08/bamboo_kenstool_no_4009_all-400x457.jpg
FURNITURE,COFFEE TABLE NO. 3007,Kshs1,981.00,https://www.kenpoly.com/wp-content/uploads/2023/08/coffee_table_no_3007_all-400x457.jpg
FURNITURE,COFFEE TABLE NO. 3007 DECO,Kshs2,545.00,https://www.kenpoly.com/wp-content/uploads/2023/08/coffee_table_no_3007_deco_all-400x457.jpg

